skin_bart,shirt_bart,shoes_bart,skin_homer,shirt_homer,shoes_homer,skin_marge,shirt_marge,shoes_marge,class
0.0,0.0,0.0,0.0,0.0,0.01914612676056338,0.0,0.0,0.0001711658841940532,bart
0.0,0.0,0.0,0.0,0.0,0.14529334279055628,0.0,0.0,0.0005370351606039112,bart
0.0,0.0,0.0,0.0,0.0,0.15383017997231196,0.0,0.0,0.0010152284263959391,bart
0.0,0.0,0.0,0.0,0.0,0.10928983037091146,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.2586191778900112,0.0,0.0,6.576178451178451e-05,bart
0.0,0.0,0.0,0.06372177055103885,0.0,0.0,0.0,0.0,0.0,bart
0.0,0.0,0.0,6.634232640424591e-05,0.0,0.006634232640424591,0.0,0.0,0.0046439628482972135,bart
0.0,0.0,0.0,0.0,0.0,0.29623840783578204,0.0,0.0,0.0002778646104685492,bart
0.0,0.0,0.0,0.0,0.0,0.07800433286606347,0.0,0.0,0.00011469351344462852,bart
0.0,0.0,0.0,0.00023033309709425938,0.0,0.24704110559886605,0.0,0.0,0.0011162296243798725,bart
0.0,0.0,0.0,0.0,0.0,0.17582747384668154,0.0,0.0,9.52762057203834e-05,bart
0.0,0.0,0.0,0.0,0.0,0.26049136390708755,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.0,0.00022252321981424149,0.0,0.0016544117647058823,bart
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.19817904515413412,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.22505416185790358,0.0,0.0,0.0014132701613719654,bart
0.0,0.0,0.0,0.0,0.0,0.003100227078035979,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.19701045707539214,0.0,0.0,0.00018974531961544948,bart
0.0,0.0,0.0,0.0,0.0,0.1831647134323087,0.0,0.0,0.0002239651303520129,bart
